1|1|1.77593877588385
1|2|2.21329804225802
1|4|2.21168315928679
1|8|2.14454688156353
1|16|1.85096841904398
1|32|1.64977209333968
1|64|1.43707961717384
1|128|2.2271714922049
1|256|1.1059550548987
2|1|1.17608545412661
2|2|2.10389328706214
2|4|3.28379430583297
2|8|3.24262886942569
2|16|3.12459734570287
2|32|2.91869771920323
2|64|2.6044463537751
2|128|2.0310308004774
2|256|1.41879241750527
4|1|1.00155912812729
4|2|1.90667138420411
4|4|3.35326857261382
4|8|5.36178210159748
4|16|6.14624255480928
4|32|6.81514789573526
4|64|5.72338919046495
4|128|5.0428905640759
4|256|3.41008964668659
8|1|0.82291260159153
8|2|1.57092652274604
8|4|2.53993191935062
8|8|3.92601287084632
8|16|6.19847913604703
8|32|7.84726154841841
8|64|6.67998071758143
8|128|5.23164877838304
8|256|4.38616323762152
