1,2,0.34989
2,2,0.35651
4,2,0.34666
8,2,0.33982
16,2,0.33533
32,2,0.34856
64,2,0.33997
128,2,0.35724
256,2,0.35374
512,2,0.35149
1024,2,0.34708
2048,2,0.35412
4096,2,0.35494
8192,2,0.35033
16384,2,0.34742
1,4,0.13978
2,4,0.14071
4,4,0.13968
8,4,0.13938
16,4,0.13917
32,4,0.1394
64,4,0.13924
128,4,0.14207
256,4,0.14171
512,4,0.13868
1024,4,0.14213
2048,4,0.14651
4096,4,0.13792
8192,4,0.14212
16384,4,0.14415
1,8,0.11129
2,8,0.12311
4,8,0.11133
8,8,0.1236
16,8,0.12395
32,8,0.10992
64,8,0.11534
128,8,0.10407
256,8,0.11398
512,8,0.111
1024,8,0.11223
2048,8,0.12057
4096,8,0.11062
8192,8,0.11343
16384,8,0.10952
1,1,0.57545
2,1,0.56639
4,1,0.57094
8,1,0.57068
16,1,0.567
32,1,0.58779
64,1,0.49039
128,1,0.57078
256,1,0.56599
512,1,0.5923
1024,1,0.57059
2048,1,0.55844
4096,1,0.55718
8192,1,0.52629
16384,1,0.5612
